competition,season,source,coverage_tier,players,matches,minutes,dob_age,goals,assists,xg,xa,shots,shot_coordinates,full_event_coordinates,passes,carries,creation,defensive_events,tracking,licence,redistribution_allowed,ingested,confidence,notes
La Liga,2017/18,Pappalardo Wyscout,A,557,380,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,CC BY 4.0,yes,yes,high,"581978 located events; 557 profiles; validated"
Bundesliga,2017/18,Pappalardo Wyscout,A,473,306,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,CC BY 4.0,yes,yes,high,"482162 located events; 472 profiles; one event-active player lacks an appearance row"
Serie A,2017/18,Pappalardo Wyscout,A,533,380,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,CC BY 4.0,yes,yes,high,"600584 located events; 533 profiles; validated"
Ligue 1,2017/18,Pappalardo Wyscout,A,541,380,yes,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,CC BY 4.0,yes,yes,high,"585512 located events; 541 profiles; validated"
Dynasty Scouting League,2024,Afriskaut + Wikidata CC0,A,857,136,partial_verified,partial_1_of_857,yes,yes,no,no,yes,yes,yes,yes,no,yes,yes,no,Apache 2.0 + CC0 1.0,yes,yes,high,"837 roster identities plus 20 event-only; 84214 unique events retained; 81269 spatially eligible; 746 profiles; 419 exact season-minute totals; Wikidata 1 high-confidence match, 11 ambiguous, 845 unmatched"
Bundesliga,2023/24,Impect,A,493,306,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,Impect analysis/research terms,no,yes,high,"PRIVATE_GREEN; 570 identities; 939200 events; 922713 spatially eligible; 493 profiles with DOB age SHOT_XG and EXPECTED_GOAL_ASSISTS"
Bundesliga,2023/24,StatsBomb Open Data,A,372,34,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; Bayer Leverkusen matches only; 136762 events"
La Liga,2016/17,StatsBomb Open Data,A,360,34,yes,partial_openfootball_cc0,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,no,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; Barcelona-centred broad team season; 124047 events; opponents partial"
La Liga,2017/18,StatsBomb Open Data,A,364,36,yes,partial_openfootball_cc0,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,no,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; Barcelona-centred broad team season; 135550 events; opponents partial"
La Liga,2018/19,StatsBomb Open Data,A,361,34,yes,partial_openfootball_cc0,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,no,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; Barcelona-centred broad team season; 130910 events; opponents partial"
La Liga,2019/20,StatsBomb Open Data,A,369,33,yes,partial_openfootball_cc0,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,no,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; Barcelona-centred broad team season; 128254 events; opponents partial"
La Liga,2020/21,StatsBomb Open Data,A,383,35,yes,partial_openfootball_cc0,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,no,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; Barcelona-centred broad team season; 138092 events; opponents partial"
Ligue 1,2021/22,StatsBomb Open Data,A,327,26,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; partial team-focused release; 100939 events"
Ligue 1,2022/23,StatsBomb Open Data,A,387,32,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; partial team-focused release; 128479 events"
Major League Soccer,2023,StatsBomb Open Data,A,118,6,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; sample only; 21587 events"
Indian Super League,2021/22,StatsBomb Open Data,A,286,115,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; 340806 events"
FIFA World Cup,2022,StatsBomb Open Data,A,679,64,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; complete tournament; 232347 events"
Africa Cup of Nations,2023,StatsBomb Open Data,A,511,52,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; complete tournament; 160768 events"
Copa America,2024,StatsBomb Open Data,A,339,32,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; complete tournament; 99039 events"
UEFA Euro,2024,StatsBomb Open Data,A,490,51,yes,no,yes,yes,yes,derived_only,yes,yes,yes,yes,yes,yes,yes,selected,StatsBomb Open Data agreement,no,yes,high,"PRIVATE_GREEN; complete tournament; 186124 events"
A-League,2024/25,SkillCorner,experimental_B,,10,yes,limited,no,no,no,no,no,no,no,no,no,limited,no,yes,MIT,yes,no,high,"Tracking/dynamic-event engineering sample; not season-scale event coverage"
